y,x,x1,x2,x3,x4,x5,x6,x7,x8
6.6,125320003,200000000,118,422,974,0,McG,Action|Adventure|Sci-Fi,Terminator Salvation 
7.2,350034110,190000000,140,424,657,94000,James Wan,Action|Crime|Thriller,Furious 7
7.0,202351611,190000000,123,654,995,129000,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z 
8.0,233914986,200000000,149,539,752,82000,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past 
7.8,228756232,190000000,132,590,1171,92000,J.J. Abrams,Action|Adventure|Sci-Fi,Star Trek Into Darkness 
6.3,65171860,195000000,114,338,205,22000,Bryan Singer,Adventure|Fantasy,Jack the Giant Slayer 
7.3,144812796,105000000,143,490,753,115000,Baz Luhrmann,Drama|Romance,The Great Gatsby 
6.6,90755643,200000000,116,306,453,23000,Mike Newell,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time 
7.0,101785482,190000000,131,575,1106,83000,Guillermo del Toro,Action|Adventure|Sci-Fi,Pacific Rim 
6.3,352358779,195000000,154,428,899,46000,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon 
6.2,317011114,185000000,122,470,2054,5000,Steven Spielberg,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull 
7.2,237282182,185000000,93,488,428,39000,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,Brave 
7.5,130468626,185000000,122,322,432,30000,Justin Lin,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond 
8.4,223806889,180000000,98,421,1043,16000,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,WALL·E 
6.2,140080850,140000000,91,162,221,0,Brett Ratner,Action|Comedy|Crime|Thriller,Rush Hour 3
5.8,166112167,200000000,158,367,1055,13000,Roland Emmerich,Action|Adventure|Sci-Fi,2012
6.8,137850096,200000000,96,240,249,0,Robert Zemeckis,Animation|Drama|Family|Fantasy,A Christmas Carol 
5.4,47375327,176000000,127,384,720,44000,Lana Wachowski,Action|Adventure|Sci-Fi,Jupiter Ascending 
6.6,124051759,180000000,110,248,239,29000,David Yates,Action|Adventure|Drama|Romance,The Legend of Tarzan 
6.9,291709845,180000000,150,284,1463,0,Andrew Adamson,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
7.3,154985087,178000000,144,396,622,54000,Bryan Singer,Action|Adventure|Sci-Fi,X-Men: Apocalypse 
9.0,533316061,185000000,152,645,4667,37000,Christopher Nolan,Action|Crime|Drama|Thriller,The Dark Knight 
8.3,292979556,175000000,96,408,704,27000,Pete Docter,Adventure|Animation|Comedy|Family,Up 
6.5,198332128,175000000,94,219,187,0,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens 
7.9,318298180,140000000,126,486,1055,10000,Jon Favreau,Action|Adventure|Sci-Fi,Iron Man 
7.5,73820094,170000000,126,682,678,42000,Martin Scorsese,Adventure|Drama|Family|Mystery,Hugo 
4.8,113745408,170000000,106,85,648,0,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,Wild Wild West 
5.2,102176165,145000000,112,264,501,0,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor 
6.9,161087183,175000000,123,418,971,80000,David Ayer,Action|Adventure|Comedy|Sci-Fi,Suicide Squad 
5.4,100289690,175000000,96,186,257,2000,Tom Shadyac,Comedy|Family|Fantasy,Evan Almighty 
7.9,100189501,178000000,113,585,741,77000,Doug Liman,Action|Adventure|Sci-Fi,Edge of Tomorrow 
6.1,88246220,175000000,176,91,309,0,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,Waterworld 
5.8,150167630,175000000,118,250,534,0,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra 
8.3,356454367,175000000,95,536,773,118000,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out 
7.8,362645141,175000000,106,370,398,65000,Jon Favreau,Adventure|Drama|Family|Fantasy,The Jungle Book 
7.0,312057433,200000000,124,453,723,18000,Jon Favreau,Action|Adventure|Sci-Fi,Iron Man 2
6.1,155111815,170000000,132,416,710,53000,Rupert Sanders,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman 
7.0,241407328,180000000,97,401,634,89000,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,Maleficent 
7.6,208543795,170000000,130,521,620,45000,Matt Reeves,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes 
6.3,38297305,175000000,128,218,324,35000,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 Ronin
7.8,259746958,170000000,136,576,742,55000,Anthony Russo,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier 
6.4,238371987,165000000,93,226,173,0,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After 
6.5,93417865,190000000,130,443,497,37000,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland 
7.9,222487711,165000000,102,384,433,41000,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6
7.8,189412677,165000000,101,377,345,40000,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph 
6.6,665426,165000000,100,188,444,10000,Robert Zemeckis,Adventure|Animation|Family|Fantasy,The Polar Express 
5.5,102315545,165000000,120,286,520,67000,Roland Emmerich,Action|Adventure|Sci-Fi,Independence Day: Resurgence 
8.2,217387997,165000000,98,288,492,33000,Dean DeBlois,Adventure|Animation|Family|Fantasy,How to Train Your Dragon 
6.4,150350192,200000000,109,280,1676,0,Jonathan Mostow,Action|Sci-Fi,Terminator 3: Rise of the Machines
8.1,333130696,170000000,121,653,1097,96000,James Gunn,Action|Adventure|Sci-Fi,Guardians of the Galaxy 
8.6,187991439,165000000,169,712,2725,349000,Christopher Nolan,Adventure|Drama|Sci-Fi,Interstellar 
8.8,292568851,160000000,148,642,2803,175000,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,Inception 
7.9,303001229,180000000,182,645,1367,166000,Peter Jackson,Adventure|Fantasy,The Hobbit: An Unexpected Journey 
6.7,144512310,38000000,106,187,988,14000,Rob Cohen,Action|Crime|Thriller,The Fast and the Furious 
7.8,127490802,150000000,166,362,822,23000,David Fincher,Drama|Fantasy|Romance,The Curious Case of Benjamin Button 
7.8,146405371,160000000,132,500,698,54000,Matthew Vaughn,Action|Adventure|Sci-Fi,X-Men: First Class 
6.6,281666058,160000000,137,389,383,38000,Francis Lawrence,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2
6.1,63143812,150000000,109,235,238,11000,Jon Turteltaub,Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice 
5.6,60655503,160000000,98,231,629,0,Wolfgang Petersen,Action|Adventure|Drama|Thriller,Poseidon 
6.4,76846624,170000000,113,218,131,30000,James Bobin,Adventure|Family|Fantasy,Alice Through the Looking Glass 
6.1,320706665,160000000,93,227,326,0,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third 
7.3,46978995,160000000,123,275,781,89000,Duncan Jones,Action|Adventure|Fantasy,Warcraft 
6.6,89732035,155000000,126,474,867,82000,Alan Taylor,Action|Adventure|Sci-Fi,Terminator Genisys 
6.3,104383624,155000000,113,228,227,11000,Michael Apted,Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader 
6.1,198539855,140000000,184,191,1999,0,Michael Bay,Action|Drama|History|Romance|War,Pearl Harbor 
7.1,318759914,150000000,144,396,1782,8000,Michael Bay,Action|Adventure|Sci-Fi,Transformers 
5.5,34293771,155000000,206,248,1390,0,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,Alexander 
7.5,292000866,150000000,138,329,1108,0,David Yates,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix 
7.6,289994397,150000000,157,295,1896,0,Mike Newell,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire 
6.4,227946274,150000000,102,318,590,0,Peter Berg,Action|Drama,Hancock 
7.2,256386216,150000000,104,323,1413,11000,Francis Lawrence,Drama|Horror|Sci-Fi,I Am Legend 
6.7,206456431,150000000,115,276,1361,0,Tim Burton,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory 
8.0,206435493,150000000,111,318,626,10000,Brad Bird,Animation|Comedy|Family|Fantasy,Ratatouille 
8.3,205343774,150000000,128,478,2685,15000,Christopher Nolan,Action|Adventure,Batman Begins 
6.7,179982968,150000000,89,167,119,0,Eric Darnell,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa
5.9,177243721,150000000,105,185,209,2000,Shawn Levy,Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian 
6.7,179883016,150000000,119,350,641,0,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine 
6.7,139259759,150000000,129,245,2121,0,Lana Wachowski,Action|Sci-Fi,The Matrix Revolutions 
7.6,400736600,150000000,102,406,904,58000,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen 
7.2,281492479,150000000,138,275,2789,0,Lana Wachowski,Action|Sci-Fi,The Matrix Reloaded 
7.1,206360018,170000000,112,486,532,63000,Alan Taylor,Action|Adventure|Fantasy,Thor: The Dark World 
8.1,153629485,150000000,120,739,1588,191000,George Miller,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road 
6.7,133375846,150000000,146,298,435,0,Ron Howard,Mystery|Thriller,Angels & Demons 
7.0,181015141,150000000,115,516,738,63000,Kenneth Branagh,Action|Adventure|Fantasy,Thor 
6.9,114053579,150000000,96,225,178,0,Byron Howard,Adventure|Animation|Comedy|Drama|Family,Bolt 
5.1,119420252,150000000,88,145,90,0,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force 
5.8,83640426,150000000,99,310,253,19000,Jonathan Liebesman,Action|Adventure|Fantasy,Wrath of the Titans 
6.2,79711678,100000000,113,526,479,82000,Tim Burton,Comedy|Fantasy|Horror,Dark Shadows 
7.4,195000874,150000000,131,465,440,47000,Christopher McQuarrie,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation 
5.8,61937495,150000000,119,357,432,0,Joe Johnston,Drama|Fantasy|Horror|Thriller,The Wolfman 
6.6,124051759,180000000,110,248,239,29000,David Yates,Action|Adventure|Drama|Romance,The Legend of Tarzan 
6.2,126597121,150000000,91,194,206,0,Steve Hickner,Adventure|Animation|Comedy|Family,Bee Movie 
7.3,165230261,150000000,90,284,209,20000,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2
4.2,131564731,150000000,103,280,1382,18000,M. Night Shyamalan,Action|Adventure|Family|Fantasy,The Last Airbender 
6.9,133382309,150000000,124,310,871,0,J.J. Abrams,Action|Adventure|Thriller,Mission: Impossible III 
6.4,73103784,150000000,131,339,434,33000,Roland Emmerich,Action|Drama|Thriller,White House Down 
5.4,21379315,150000000,88,132,112,0,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms 
6.7,64459316,149000000,85,135,122,0,David Bowers,Adventure|Animation|Comedy|Family,Flushed Away 
5.8,34964818,150000000,111,256,186,24000,Joe Wright,Adventure|Family|Fantasy,Pan 
6.9,111505642,145000000,92,196,130,11000,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman 
7.2,133228348,175000000,196,220,1694,0,Wolfgang Petersen,Adventure,Troy 
6.9,216366733,145000000,93,211,154,17000,Eric Darnell,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted
6.1,160201106,142000000,133,264,1185,0,Lee Tamahori,Action|Adventure|Thriller,Die Another Day 
5.5,118099659,144000000,116,464,1211,62000,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters 
6.6,201573391,140000000,153,167,1171,11000,Michael Bay,Action|Adventure|Sci-Fi|Thriller,Armageddon 
6.1,190418803,140000000,88,208,606,2000,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II 
6.3,82161969,150000000,115,287,505,3000,Robert Zemeckis,Action|Adventure|Animation|Fantasy,Beowulf 
7.2,143523463,145000000,95,210,145,24000,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3
7.4,209364921,145000000,133,432,512,35000,Brad Bird,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol 
7.3,103400692,145000000,97,256,174,25000,Peter Ramsey,Adventure|Animation|Family|Fantasy,Rise of the Guardians 
6.1,110332737,100000000,90,135,258,2000,Dean Parisot,Comedy|Crime,Fun with Dick and Jane 
7.7,111110575,140000000,154,190,928,0,Edward Zwick,Action|Drama|History|War,The Last Samurai 
6.1,65007045,140000000,150,314,657,51000,Ridley Scott,Action|Adventure|Drama,Exodus: Gods and Kings 
8.0,257704099,150000000,127,518,1559,19000,J.J. Abrams,Action|Adventure|Sci-Fi,Star Trek 
7.3,403706375,139000000,121,291,2012,5000,Sam Raimi,Action|Adventure|Fantasy|Romance,Spider-Man 
7.9,176997107,145000000,102,292,343,46000,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2
5.5,31141074,140000000,126,184,273,24000,Alex Proyas,Action|Adventure|Fantasy,Gods of Egypt 
5.0,31704416,135000000,121,145,388,0,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,Stealth 
7.7,107503316,130000000,215,451,1229,18000,Zack Snyder,Action|Drama|Mystery|Sci-Fi,Watchmen 
6.6,129734803,140000000,127,141,287,0,Richard Donner,Action|Crime|Thriller,Lethal Weapon 4
5.7,132122995,137000000,138,267,1445,0,Ang Lee,Action|Sci-Fi,Hulk 
5.8,122512052,130000000,122,351,288,42000,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation 
6.0,68642452,130000000,124,163,463,0,Breck Eisner,Action|Adventure|Comedy|Thriller,Sahara 
6.4,32131830,137000000,106,166,788,0,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within 
6.9,176636816,140000000,124,510,679,46000,Joe Johnston,Action|Adventure|Sci-Fi,Captain America: The First Avenger 
6.4,126930660,135000000,128,197,683,2000,Michael Apted,Action|Adventure|Thriller,The World Is Not Enough 
7.4,93926386,150000000,138,244,684,0,Peter Weir,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World 
5.5,292298923,120000000,115,322,329,65000,Bill Condon,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2
5.9,63992328,135000000,100,156,79,0,George Miller,Animation|Comedy|Family|Musical,Happy Feet 2
6.8,134518390,150000000,135,354,643,0,Louis Leterrier,Action|Adventure|Sci-Fi,The Incredible Hulk 
6.8,52792307,140000000,117,252,106,27000,Steven Spielberg,Adventure|Family|Fantasy,The BFG 
8.1,183635922,135000000,156,556,1188,190000,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,The Revenant 
6.5,83024900,135000000,96,166,90,13000,David Soren,Adventure|Animation|Comedy|Family|Sport,Turbo 
7.2,123207194,135000000,107,362,337,26000,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,Rango 
6.7,83348920,132000000,92,153,118,11000,Eric Darnell,Adventure|Animation|Comedy|Family,Penguins of Madagascar 
8.1,227137090,110000000,115,329,820,0,Paul Greengrass,Action|Mystery|Thriller,The Bourne Ultimatum 
7.6,215395021,130000000,92,266,360,6000,Mark Osborne,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 
7.4,180191634,130000000,117,517,549,61000,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,Ant-Man 
7.6,424645577,130000000,146,502,706,82000,Francis Lawrence,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire 
5.5,292298923,120000000,115,322,329,65000,Bill Condon,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2
6.7,177343675,135000000,94,165,214,26000,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home 
6.5,234277056,132000000,116,401,2741,0,Steven Spielberg,Adventure|Sci-Fi|Thriller,War of the Worlds 
6.6,138396624,130000000,147,94,511,0,Michael Bay,Action|Comedy|Crime|Thriller,Bad Boys II 
6.7,149234747,130000000,90,246,137,16000,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots 
6.4,118311368,110000000,101,330,514,23000,Phillip Noyce,Action|Crime|Mystery|Thriller,Salt 
5.8,101160529,125000000,138,434,1240,71000,Darren Aronofsky,Action|Adventure|Drama,Noah 
7.4,77564037,135000000,107,440,447,44000,Steven Spielberg,Action|Adventure|Family|Mystery,The Adventures of Tintin 
7.8,249358727,130000000,142,274,1504,11000,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban 
6.6,49551662,130000000,165,245,450,0,Baz Luhrmann,Adventure|Drama|Romance|War,Australia 
4.9,60522097,130000000,100,349,744,37000,M. Night Shyamalan,Action|Adventure|Sci-Fi,After Earth 
6.5,137748063,127500000,82,145,241,0,Eric Leighton,Adventure|Animation|Family|Thriller,Dinosaur 
6.2,113733726,127000000,98,154,126,11000,Shawn Levy,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb 
7.3,148337537,130000000,95,233,187,13000,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,Megamind 
7.5,317557891,125000000,159,258,1571,16000,Chris Columbus,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone 
5.6,33592415,130000000,96,208,210,20000,Robert Schwentke,Action|Comedy|Fantasy,R.I.P.D. 
8.1,305388685,140000000,143,271,2113,10000,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl 
6.7,337103873,125000000,123,403,591,52000,Francis Lawrence,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1
6.6,217536138,125000000,174,294,1966,0,Ron Howard,Mystery|Thriller,The Da Vinci Code 
6.4,131536019,103000000,101,159,99,0,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,Rio 2
7.5,214948780,110000000,134,289,1055,0,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2
7.3,209805005,125000000,132,342,366,54000,Justin Lin,Action|Crime|Thriller,Fast Five 
7.5,186830669,125000000,129,382,412,39000,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows 
5.8,163192114,125000000,106,344,637,15000,Louis Leterrier,Action|Adventure|Fantasy,Clash of the Titans 
7.5,119412921,65000000,113,196,391,0,Paul Verhoeven,Action|Sci-Fi,Total Recall 
6.6,32694788,85000000,102,85,546,0,John McTiernan,Action|Adventure|History,The 13th Warrior
6.7,113165635,125000000,135,436,504,31000,Tony Gilroy,Action|Adventure|Thriller,The Bourne Legacy 
3.7,107285004,125000000,125,183,1018,0,Joel Schumacher,Action,Batman & Robin 
6.0,260031035,123000000,110,175,482,0,Ron Howard,Comedy|Family|Fantasy,How the Grinch Stole Christmas 
6.4,186739919,125000000,124,239,1159,19000,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow 
6.1,215397307,125000000,123,237,1426,0,John Woo,Action|Adventure|Thriller,Mission: Impossible II 
6.4,182618434,140000000,130,231,779,0,Wolfgang Petersen,Action|Adventure|Drama|Thriller,The Perfect Storm 
5.6,131920333,130000000,92,262,436,0,Tim Story,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer
8.0,124976634,120000000,127,552,755,122000,Ang Lee,Adventure|Drama|Fantasy,Life of Pi 
5.2,115802596,110000000,123,276,681,0,Mark Steven Johnson,Action|Fantasy|Thriller,Ghost Rider 
7.1,108521835,120000000,123,267,297,31000,Paul Greengrass,Action|Thriller,Jason Bourne 
4.8,100685880,120000000,107,102,554,0,McG,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle 
7.0,126464904,130000000,124,775,2326,97000,Ridley Scott,Adventure|Mystery|Sci-Fi,Prometheus 
5.4,64736114,120000000,77,71,69,459,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2
6.6,93050117,115000000,109,476,814,61000,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,Elysium 
6.7,57637485,105000000,134,207,666,0,David Twohy,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick 
6.2,58607007,100000000,117,492,630,60000,José Padilha,Action|Crime|Sci-Fi|Thriller,RoboCop 
6.1,43929341,120000000,135,284,414,0,Lana Wachowski,Action|Family|Sport,Speed Racer 
5.3,30212620,120000000,121,168,196,0,James L. Brooks,Comedy|Drama|Romance,How Do You Know 
6.3,76418654,117000000,117,283,348,11000,James Mangold,Action|Comedy|Romance,Knight and Day 
7.0,89021735,120000000,124,539,892,71000,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,Oblivion 
7.6,380262555,113000000,140,359,3286,10000,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith 
6.7,310675583,115000000,142,284,3516,0,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones 
8.1,289907418,115000000,92,250,593,0,Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. "
6.7,132550960,120000000,138,440,533,68000,James Mangold,Action|Adventure|Sci-Fi|Thriller,The Wolverine 
6.5,474544677,115000000,136,320,3597,13000,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace 
7.3,187165546,135000000,98,257,195,28000,Kirk De Micco,Adventure|Animation|Comedy|Family|Fantasy,The Croods 
6.0,40911830,115000000,153,152,454,0,John Woo,Action|Drama|War,Windtalkers 
6.1,47952020,115000000,120,231,134,16000,Cedric Nicolas-Troyan,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War 
5.9,190871240,125000000,101,348,491,62000,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles 
7.8,274084951,100000000,91,738,1885,147000,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,Gravity 
5.8,67155742,116000000,108,93,277,0,Roger Donaldson,Action|Adventure|Thriller,Dante's Peak 
6.3,81638674,135000000,112,181,115,12000,Dave Green,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows 
4.3,56114221,120000000,100,369,695,41000,Josh Trank,Action|Adventure|Sci-Fi,Fantastic Four 
